doc_id,case_number,doc_type,publication_date,source_url,file_path,pages,printed_total_by_class,status,strategy,layout_id,notes,extracted_at,extracted_by
7d03c9d4861a932afee94364f82d6602e10e2ff0,0000742-29.2017.8.17.3090,UNKNOWN,2021-09-10,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=3469,/home/user/Anteparo/data/pdfs/lrflideres.com.br/7d03c9d4861a932a.pdf,23,[],OK_NO_TOTALS,TABLE,TABLE_RULED,prose_signal=0,2026-09-03T22:38:43Z,ingest
c9ded76ba27f1ae37efbfe9f70300c9bf0d8f581,0000742-29.2017.8.17.3090,UNKNOWN,2021-09-10,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=3468,/home/user/Anteparo/data/pdfs/lrflideres.com.br/c9ded76ba27f1ae3.pdf,31,[],OK_NO_TOTALS,TABLE,TABLE_RULED,prose_signal=0,2026-09-03T22:38:45Z,ingest
5ab9c6b6d2232471b5e5088555720d0c27aa8fda,0000206-69.2013.8.17.1340,UNKNOWN,,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=4999,/home/user/Anteparo/data/pdfs/lrflideres.com.br/5ab9c6b6d2232471.pdf,3,"[{""class"": ""I"", ""currency"": ""BRL"", ""total"": ""494648.49"", ""count"": null, ""page"": 3}]",OK,TABLE,TABLE_RULED,prose_signal=0; CASE_FROM_PAGE,2026-09-03T22:38:46Z,ingest
ab7097a8638df8e65039c5878f3874a9e28e39f5,0000206-69.2013.8.17.1340,UNKNOWN,,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=5000,/home/user/Anteparo/data/pdfs/lrflideres.com.br/ab7097a8638df8e6.pdf,1,"[{""class"": ""II"", ""currency"": ""BRL"", ""total"": ""4667569.95"", ""count"": null, ""page"": 1}]",OK,TABLE,TABLE_RULED,prose_signal=0; CASE_FROM_PAGE,2026-09-03T22:38:46Z,ingest
7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,0000206-69.2013.8.17.1340,UNKNOWN,,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=5001,/home/user/Anteparo/data/pdfs/lrflideres.com.br/7c0ce2830d0d7e22.pdf,4,"[{""class"": ""III"", ""currency"": ""BRL"", ""total"": ""4263823.37"", ""count"": null, ""page"": 4}]",QUARANTINED,TABLE,TABLE_RULED,prose_signal=0; CASE_FROM_PAGE,2026-09-03T22:38:47Z,ingest
