cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
60746948,8005129-09.2023.8.05.0039,3153794.96,60746948000112,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BRADESCO S.A,"ROWS:p5r16,p17r7|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
62232889,8005129-09.2023.8.05.0039,3115885.56,62232889000190,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO DAYCOVAL S.A.,ROWS:p5r8|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores,2026-09-03T23:03:32Z,build
05429994,0804401-51.2025.8.14.0039,3014807.20,05429994001313,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,VEGETAL AGRONEGOCIOS LTDA,ROWS:p2r13,2026-09-03T23:03:32Z,build
60701190,8005129-09.2023.8.05.0039,3004176.14,60701190000104,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,ITAÚ UNIBANCO S.A.,"ROWS:p8r3,p18r5|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
58160789,0008526-45.2025.8.17.2001,2921565.37,58160789000128,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO SAFRA S A,ROWS:p5r52,2026-09-03T23:03:32Z,build
00000000,0008526-45.2025.8.17.2001,2864591.61,00000000000191,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO DO BRASIL SA,ROWS:p5r51,2026-09-03T23:03:32Z,build
00360305,,2786495.38,00360305000104,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,CAIXA ECONOMICA FEDERAL,CASE_NUMBER_MISSING|ROWS:p3r11,2026-09-03T23:03:32Z,build
62232889,0008526-45.2025.8.17.2001,2710655.64,62232889000190,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO DAYCOVAL S.A,ROWS:p5r50,2026-09-03T23:03:32Z,build
20204300,8005129-09.2023.8.05.0039,2463062.80,20204300000108,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,MSN FUNDO,"ROWS:p9r4,p18r11|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
31281962,0804401-51.2025.8.14.0039,2406485.64,31281962000190|31281962000270,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,CROMO INDUSTRIA QUIMICA S.A,ROWS:p1r11,2026-09-03T23:03:32Z,build
12910431,8005129-09.2023.8.05.0039,2327494.50,12910431000174,3,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,GAVEA FIDC,"ROWS:p7r9,p8r18,p9r15|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
23360870,8005129-09.2023.8.05.0039,2144705.34,23360870000177,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,SIGMA,"ROWS:p10r2,p19r7|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
