case_number,court,chamber,debtor_name,debtor_cnpj,filing_date,stage,administrator_name,administrator_cnpj,source_url,extracted_at,extracted_by
5108608-76.2022.8.21.0001,TJRS,Vara Regional Empresarial de Porto Alegre,5108608-76.2022.8.21.0001 | CB2D,,2022-06-29,ACTIVE,cb2d.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-03T22:44:35Z,datajud-loader
5140733-34.2021.8.21.0001,TJRS,Vara Regional Empresarial de Porto Alegre,SENTENÇA RECUPERAÇÃO JUDICIA,,2021-11-23,CONVERTED_TO_BANKRUPTCY,cataliseaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-03T22:44:35Z,datajud-loader
5164979-18.2026.8.09.0110,TJGO,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)","e informem eventuais créditos perante as devedoras, para divulgação aos demais interessa",,2026-02-26,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5188654-52.2022.8.21.0001,TJRS,Vara Regional Empresarial de Porto Alegre,5188654-52.2022.8.21.0001 | CB2D,,2022-10-21,ACTIVE,cb2d.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-03T22:44:35Z,datajud-loader
5240968-38.2023.8.21.0001,TJRS,Vara Regional Empresarial de Porto Alegre,empresa,,2023-11-14,ACTIVE,cataliseaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-03T22:44:35Z,datajud-loader
5245072-73.2023.8.21.0001,TJRS,Vara Regional Empresarial de Porto Alegre,Catalise Administração Judicial,,2023-11-20,ACTIVE,cataliseaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-03T22:44:35Z,datajud-loader
5264228-81.2025.8.09.0172,TJGO,Vara Judicial,RJ GRUPO FAEL - Stenius,,2025-04-04,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5268801-31.2023.8.21.0001,TJRS,Vara Regional Empresarial de Porto Alegre,5268801-31.2023.8.21.0001 | CB2D,,2023-12-15,ACTIVE,cb2d.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-03T22:44:35Z,datajud-loader
5281407-42.2021.8.09.0051,TJGO,18ª Vara Cível e Ambiental,,,2021-06-07,ACTIVE,arquivos.integrawebsites.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5341375-33.2026.8.09.0049,TJGO,"2ª Vara Cível, Ambiental e Família e Sucessões",RJ Grupo 3E - Stenius,,2026-04-18,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5401053-70.2026.8.09.0051,TJGO,22ª Vara Cível,em falência,,2026-05-07,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5519529-12.2020.8.09.0105,TJGO,1ª Vara (Cível e da Inf. e da Juventude),RJ Pereira E Resende LTDA - Stenius,,2020-10-20,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:25Z,datajud-loader
5560721-64.2026.8.09.0120,TJGO,Vara Judicial,"e a opção de consulta às suas peças principais, sa",,2026-06-19,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:25Z,datajud-loader
5660592-49.2025.8.09.0105,TJGO,"2ª Vara (Cív, das Faz Púb, de Reg Púb. e Amb.)",RJ DINKOSKI - Stenius,,2025-08-18,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5671108-67.2023.8.09.0051,TJGO,10ª Vara Cível,apresentada por AXE CAPITAL LTDA,,2023-10-06,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5677250-87.2023.8.09.0051,TJGO,7ª Vara Cível,EMPRESA,,2023-10-10,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
5746053-87.2025.8.09.0137,TJGO,3ª Vara Cível,empresa,,2025-09-15,ACTIVE,tjdft.jus.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
6032681-62.2025.8.09.0051,TJGO,16ª Vara Cível e Ambiental,MARGIL TRANSPORTES LTDA,,2025-12-12,ACTIVE,stenius.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-03T22:40:10Z,datajud-loader
8005129-09.2023.8.05.0039,TJBA,2ª VARA DE FEITOS DE REL DE CONS. CÍVEL E COMERCIAIS,e na falência,,2023-05-22,ACTIVE,assistjud.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjba/_search,2026-09-03T22:39:26Z,datajud-loader
8054910-22.2020.8.05.0001,TJBA,1ª VARA DE FEITOS DE REL DE CONS. CÍVEL E COMERCIAIS,Hoteis e Pousadas Belle Mer Brasil S/A - Real Brasil Consultoria,,2020-05-30,ACTIVE,realbrasil.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjba/_search,2026-09-03T22:39:26Z,datajud-loader
