creditor_name,cnpj,case_number,amount_old,status_old,source_url,raw
POLIMAQUINAS INDUSTRIA E COMERCIO LIMITADA,46142725000115,0800778-16.2023.8.20.5104,32399.97,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"POLIMAQUINAS INDUSTRIA E COMERCIO LIMITADA |  |  |  |  |  | 46142725000115 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 32,399.97 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) "
ROTA SUL TRANSPORTE DE CARGAS LTDA,02442313000125,,31955.15,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","ROTA SUL TRANSPORTE DE CARGAS LTDA |  |  |  |  |  | 02442313000125 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 31,955.15 |  |  |  | TRUSTED_NAME_ALIGNED | 0.906 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Tran"
GEOFUSION SISTEMAS E SERVICOS DE INFORMATICA LTDA,10502273000198,0008526-45.2025.8.17.2001,30854.72,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"GEOFUSION SISTEMAS E SERVICOS DE INFORMATICA LTDA |  |  |  |  |  | 10502273000198 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 30,854.72 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJP"
ELENKO SPORTS LTDA,21317529000103,0820780-23.2026.8.14.0301,27613.14,,https://cdn.dol.com.br/img/attachmentinline/940000/6publicacao-2-edital-art-7-parag-2-da-lei-11101-20009467060.pdf?xid=3272528,"ELENKO SPORTS LTDA |  |  |  |  |  | 21317529000103 | ATIVA | PAYSANDU SPORT CLUB | 0820780-23.2026.8.14.0301 | III - QUIROGRAFÁRIO | R$ 27,613.14 |  |  |  | TRUSTED_NAME_ALIGNED | 0.565 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | SP | SAO PAULO | Agenciamento de profissionais para atividades e"
VALGROUP AM INDUSTRIA DE MASTERBATCH LTDA.,03071894000360,0800778-16.2023.8.20.5104,26655.00,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"VALGROUP AM INDUSTRIA DE MASTERBATCH LTDA. |  |  |  |  |  | 03071894000360 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 26,655.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.928 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJ"
FEDERAL EXPRESS CORPORATION,00676486000182,,26451.14,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","FEDERAL EXPRESS CORPORATION |  |  |  |  |  | 00676486000182 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 26,451.14 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | SAO PAULO | Transporte aéreo de"
UNIONLOG TRANSPORTES LTDA,20919807000130,,26280.65,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","UNIONLOG TRANSPORTES LTDA |  |  |  |  |  | 20919807000130 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 26,280.65 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | BENTO GONCALVES | Transporte rodo"
"D'MARI - LOCACAO, TRANSPORTES E LOGISTICA LTDA",11970436000120,0008526-45.2025.8.17.2001,25714.19,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"D'MARI - LOCACAO, TRANSPORTES E LOGISTICA LTDA |  |  |  |  |  | 11970436000120 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 25,714.19 |  |  |  | TRUSTED_NAME_ALIGNED | 0.754 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJ"
ALUVID - INDUSTRIA E COMERCIO DE ALUMINIO E VIDROS LTDA,13158783000188,0800778-16.2023.8.20.5104,25178.72,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"ALUVID - INDUSTRIA E COMERCIO DE ALUMINIO E VIDROS LTDA |  |  |  |  |  | 13158783000188 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 25,178.72 |  |  |  | TRUSTED_NAME_ALIGNED | 0.769 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande"
TRANSPORTES CRISTOFOLI LTDA,88670104000154,,22603.62,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","TRANSPORTES CRISTOFOLI LTDA |  |  |  |  |  | 88670104000154 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 22,603.62 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | GARIBALDI | Transporte rodoviár"
IBOPE REPUCOM PESQUISAS ESPORTIVAS LTDA.,04618228000109,0820780-23.2026.8.14.0301,22145.10,,https://cdn.dol.com.br/img/attachmentinline/940000/6publicacao-2-edital-art-7-parag-2-da-lei-11101-20009467060.pdf?xid=3272528,"IBOPE REPUCOM PESQUISAS ESPORTIVAS LTDA. |  |  |  |  |  | 04618228000109 | ATIVA | PAYSANDU SPORT CLUB | 0820780-23.2026.8.14.0301 | III - QUIROGRAFÁRIO | R$ 22,145.10 |  |  |  | TRUSTED_NAME_ALIGNED | 0.786 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | SP | SAO PAULO | Pesquisas de mercado e de"
SERVICO SOCIAL DA INDUSTRIA DA CONSTRUCAO C DE MANAUS,63692321000114,0532018-89.2024.8.04.0001,20755.62,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"SERVICO SOCIAL DA INDUSTRIA DA CONSTRUCAO C DE MANAUS |  |  |  |  |  | 63692321000114 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 20,755.62 |  |  |  | TRUSTED_NAME_ALIGNED | 0.592 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | Ati"
SERASA S.A.,62173620009306,,20283.11,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","SERASA S.A. |  |  |  |  |  | 62173620009306 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 20,283.11 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | SAO CARLOS | Atividades de consultoria em gestã"
GRECCHI ADVOGADOS ASSOCIADOS,06119227000137,,20000.00,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","GRECCHI ADVOGADOS ASSOCIADOS |  |  |  |  |  | 06119227000137 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 20,000.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.833 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | ESTEIO | Serviços advocatí"
DANIEL ARRUDA ARQUITETOS SS LTDA,13384111000190,0532018-89.2024.8.04.0001,18750.00,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"DANIEL ARRUDA ARQUITETOS SS LTDA |  |  |  |  |  | 13384111000190 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 18,750.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.65 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | CE | FORTALEZA | Serviços de arquitetur"
SKA AUTOMACAO DE ENGENHARIAS LTDA,81329823000167,,17678.32,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","SKA AUTOMACAO DE ENGENHARIAS LTDA |  |  |  |  |  | 81329823000167 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 17,678.32 |  |  |  | TRUSTED_NAME_ALIGNED | 0.831 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | SAO LEOPOLDO | Desenv"
POLYBRAS - POLIMEROS BRASILEIROS LTDA,17799898000102,0800778-16.2023.8.20.5104,17457.66,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"POLYBRAS - POLIMEROS BRASILEIROS LTDA |  |  |  |  |  | 17799898000102 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 17,457.66 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | RN "
DELL COMPUTADORES DO BRASIL LTDA,72381189001001,0532018-89.2024.8.04.0001,17118.62,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"DELL COMPUTADORES DO BRASIL LTDA |  |  |  |  |  | 72381189001001 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 17,118.62 |  |  |  | TRUSTED_NAME_ALIGNED | 0.844 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | SP | HORTOLANDIA | Comércio atacadista"
WIRECARD BRAZIL TECNOLOGIA LTDA,08718431000108,,16692.20,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","WIRECARD BRAZIL TECNOLOGIA LTDA |  |  |  |  |  | 08718431000108 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 16,692.20 |  |  |  | TRUSTED_NAME_ALIGNED | 0.56 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | SAO PAULO | Atividades d"
AVALARA BRASIL - ASSESSORIA E CONSULTORIA TRIBUTARIA E TECNOLOGICA LTDA,24918171000162,0008526-45.2025.8.17.2001,16537.50,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"AVALARA BRASIL - ASSESSORIA E CONSULTORIA TRIBUTARIA E TECNOLOGICA LTDA |  |  |  |  |  | 24918171000162 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 16,537.50 |  |  |  | TRUSTED_NAME_ALIGNED | 0.72 | PROVISIONAL_CLASS_III_CA"
TINTAS IQUINE LTDA.,09722463000131,0800778-16.2023.8.20.5104,16320.88,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"TINTAS IQUINE LTDA. |  |  |  |  |  | 09722463000131 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 16,320.88 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | PE | JABOATAO DOS GUA"
NOVA TRIGO RESINAS TERMOPLASTICAS LTDA.,07094272000147,,16275.00,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","NOVA TRIGO RESINAS TERMOPLASTICAS LTDA. |  |  |  |  |  | 07094272000147 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 16,275.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.764 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | SAO BERNARDO DO"
BRASIL QUIMICA E MINERACAO INDUSTRIAL LTDA,24373276000183,0800778-16.2023.8.20.5104,13973.50,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"BRASIL QUIMICA E MINERACAO INDUSTRIAL LTDA |  |  |  |  |  | 24373276000183 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 13,973.50 |  |  |  | TRUSTED_NAME_ALIGNED | 0.912 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJ"
MARTINELLI ADVOCACIA EMPRESARIAL,01650515000108,,12843.96,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"MARTINELLI ADVOCACIA EMPRESARIAL |  |  |  |  |  | 01650515000108 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 12,843.96 |  |  |  | TRUSTED_NAME_ALIGNED | 0.865 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | JOINVILLE | Serviços advocatícios | Sociedade Simples Pura | 4721"
CERAMICA SERRA AZUL LTDA,07378783000190,0800778-16.2023.8.20.5104,12517.38,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"CERAMICA SERRA AZUL LTDA |  |  |  |  |  | 07378783000190 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 12,517.38 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | SE | NOSSA SENHO"
CONDOMINIO INDUSTRIAL DO RIBEIRAO,05646097000128,8005129-09.2023.8.05.0039,12317.46,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"CONDOMINIO INDUSTRIAL DO RIBEIRAO |  |  |  |  |  | 05646097000128 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 12,317.46 |  |  |  | TRUSTED_NAME_ALIGNED | 0.623 | PROVISIONAL_CLASS_III_CANDIDATE | Bahia (TJBA) | "
CLARO S.A.,40432544000147,0652260-87.2018.8.04.0001,12152.61,,https://ajbrajalveiga.com.br/processos/download/grupo-galo/4%20-%20Edital.pdf,"CLARO S.A. |  |  |  |  |  | 40432544000147 | ATIVA | Galo da Serra Navegação Fluvial e Logística Ltda e outros | 0652260-87.2018.8.04.0001 | III - QUIROGRAFÁRIO | R$ 12,152.61 |  |  |  | TRUSTED_NAME_ALIGNED | 0.714 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | SP | SAO PAULO | Telefonia móv"
CASA DO ELETRICISTA LTDA,04415154000103,0652260-87.2018.8.04.0001,12152.61,,https://ajbrajalveiga.com.br/processos/download/grupo-galo/4%20-%20Edital.pdf,"CASA DO ELETRICISTA LTDA |  |  |  |  |  | 04415154000103 | ATIVA | Galo da Serra Navegação Fluvial e Logística Ltda e outros | 0652260-87.2018.8.04.0001 | III - QUIROGRAFÁRIO | R$ 12,152.61 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | Comérc"
MACROPECAS COMERCIAL LTDA,10179869000107,0652260-87.2018.8.04.0001,11986.75,,https://ajbrajalveiga.com.br/processos/download/grupo-galo/4%20-%20Edital.pdf,"MACROPECAS COMERCIAL LTDA |  |  |  |  |  | 10179869000107 | ATIVA | Galo da Serra Navegação Fluvial e Logística Ltda e outros | 0652260-87.2018.8.04.0001 | III - QUIROGRAFÁRIO | R$ 11,986.75 |  |  |  | TRUSTED_NAME_ALIGNED | 0.571 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | C"
GEOFUSION SISTEMAS E SERVICOS DE INFORMATICA LTDA,10502273000198,0532018-89.2024.8.04.0001,10785.17,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"GEOFUSION SISTEMAS E SERVICOS DE INFORMATICA LTDA |  |  |  |  |  | 10502273000198 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 10,785.17 |  |  |  | TRUSTED_NAME_ALIGNED | 0.687 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | SP | SAO PAULO | Dese"
CONDOMINIO LEVE-CASTANHEIRA RESIDENCIAL PARK,30686394000144,0532018-89.2024.8.04.0001,10707.09,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"CONDOMINIO LEVE-CASTANHEIRA RESIDENCIAL PARK |  |  |  |  |  | 30686394000144 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 10,707.09 |  |  |  | TRUSTED_NAME_ALIGNED | 0.907 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | Condomínios "
RESIDENCIAL PREDILETTO PARQUE DEZ,43916601000151,0532018-89.2024.8.04.0001,10222.25,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"RESIDENCIAL PREDILETTO PARQUE DEZ |  |  |  |  |  | 43916601000151 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 10,222.25 |  |  |  | TRUSTED_NAME_ALIGNED | 0.725 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | Condomínios prediais | "
MUDANCAS SAMUCA LTDA,04559137000131,,9900.00,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"MUDANCAS SAMUCA LTDA |  |  |  |  |  | 04559137000131 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 9,900.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.571 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Transporte rodoviário de mudanças | Sociedade Empresária Limitada |"
RECOM ETIQUETAS E EMBALAGENS LTDA,53797932000173,8005129-09.2023.8.05.0039,9764.48,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"RECOM ETIQUETAS E EMBALAGENS LTDA |  |  |  |  |  | 53797932000173 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 9,764.48 |  |  |  | TRUSTED_NAME_ALIGNED | 0.655 | PROVISIONAL_CLASS_III_CANDIDATE | Bahia (TJBA) | S"
TRANSPORTES MOBILINE LTDA,03341775000119,,9698.61,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","TRANSPORTES MOBILINE LTDA |  |  |  |  |  | 03341775000119 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 9,698.61 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | FARROUPILHA | Transporte rodoviári"
LOCALIZA FLEET S.A.,02286479000108,8005129-09.2023.8.05.0039,9529.60,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"LOCALIZA FLEET S.A. |  |  |  |  |  | 02286479000108 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 9,529.60 |  |  |  | TRUSTED_NAME_ALIGNED | 0.596 | PROVISIONAL_CLASS_III_CANDIDATE | Bahia (TJBA) | MG | BELO HORIZ"
AIR LIQUIDE BRASIL LTDA,00331788005420,,9171.65,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","AIR LIQUIDE BRASIL LTDA |  |  |  |  |  | 00331788005420 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 9,171.65 |  |  |  | TRUSTED_NAME_ALIGNED | 0.783 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Comércio atacadi"
ATUAL CARGAS TRANSPORTES LTDA,08848231001133,,8912.48,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"ATUAL CARGAS TRANSPORTES LTDA |  |  |  |  |  | 08848231001133 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 8,912.48 |  |  |  | TRUSTED_NAME_ALIGNED | 0.629 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Transporte rodoviário de carga, exceto produtos perigosos "
FRANCIMAR REPRESENTACOES LTDA,76823467000284,,8471.35,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"FRANCIMAR REPRESENTACOES LTDA |  |  |  |  |  | 76823467000284 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 8,471.35 |  |  |  | TRUSTED_NAME_ALIGNED | 0.737 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | PR | CURITIBA | Comércio varejista de ferragens e ferramentas | Sociedade "
SERRA BRASIL TRANSPORTES LTDA,15334893000189,,8329.34,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","SERRA BRASIL TRANSPORTES LTDA |  |  |  |  |  | 15334893000189 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 8,329.34 |  |  |  | TRUSTED_NAME_ALIGNED | 0.629 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | FARROUPILHA | Transporte r"
GOUVEA & CAMPANA LTDA,11949543000176,,7772.00,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"GOUVEA & CAMPANA LTDA |  |  |  |  |  | 11949543000176 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 7,772.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.667 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | PR | LONDRINA | Restaurantes e similares | Sociedade Empresária Limitada | 4330268"
TELEFONICA CLOUD E TECNOLOGIA DO BRASIL S.A.,35473014000107,0804401-51.2025.8.14.0039,7694.61,,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=6879,"TELEFONICA CLOUD E TECNOLOGIA DO BRASIL S.A. |  |  |  |  |  | 35473014000107 | ATIVA | SOJAL COMERCIAL AGRICOLA LTDA e outros | 0804401-51.2025.8.14.0039 | III - QUIROGRAFÁRIO | R$ 7,694.61 |  |  |  | TRUSTED_NAME_ALIGNED | 0.951 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | SP | SANTANA DE PARN"
