cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
04661871,0000472-94.2012.5.06.0193,1616915.34,04661871000107,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Rua Hum, 166, Itapavussu, Cosmópolis/SP",ROWS:p64r16|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
60701190,0003971-03.2023.8.16.0119,1612972.92,60701190000104,1,Marques Administrações Judiciais,,,1,FLOOR,1209dafe77b7708945a17e0f6d11db9b41daea47,Itau Unibanco S.A.,LIKELY_FINANCIAL_BY_NAME|PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p12r5,2026-09-03T23:36:48Z,build
21759758,0005010-98.2023.8.16.0001,1610365.54,21759758000188,1,Marques Administrações Judiciais,,,1,FLOOR,b465a5d11eec7a46656b594fa59c62d80724e0a1,Farmax S.A.,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p25r6,2026-09-03T23:36:48Z,build
58160789,0008897-71.2025.8.16.0017,1609442.70,58160789000128,1,Marques Administrações Judiciais,,,1,FLOOR,1180d0ff83f8b661ab4fd94fbaaced46755aea7c,Banco Safra S.A. (CNPJ n° subscrevi e assinei,LIKELY_FINANCIAL_BY_NAME|ROWS:p2r150|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
23552212,0005010-98.2023.8.16.0001,1608447.77,23552212000268,1,Marques Administrações Judiciais,,,1,FLOOR,b465a5d11eec7a46656b594fa59c62d80724e0a1,Roche Diabetes Care Brasil Ltda,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p30r12,2026-09-03T23:36:48Z,build
34274233,0020255-24.2020.5.04.0104,1607742.88,34274233006488,1,Base | AJ RUIZ - Administração Judicial,,,1,FLOOR,2407a56c35028c413305535a1dd008db0d00dcd7,ROD. PRESIDENTE CASTELO BRANCO KM 20 S/N - BARUERI-SP - CEP 06463-400,ROWS:p3r43,2026-09-03T23:36:48Z,build
00000000,5264228-81.2025.8.09.0172,1604797.64,00000000000191,1,CINCOS CONSULTORIA ORGANIZACIONAL LTDA,,,1,FLOOR,301e3cf58b98f2b74920b96d29220c90ddc094e5,,NAME_MISSING|ROWS:p1r2|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito,2026-09-03T23:36:48Z,build
59717553,0007565-40.2020.8.17.2370,1603580.85,59717553000617,1,e Falência,,,1,FLOOR,849d4fe5adce792f073eb0cbe52a2f1d8075a473,59.717.553/0006-17,ROWS:p16r28,2026-09-03T23:36:48Z,build
60746948,0133628-14.2024.8.17.2001,1593391.75,60746948000112,1,CEAM - Recupera Soluções Empresariais,,,1,FLOOR,e9d023c65bbda29539bfe3e4563d7c5e30033a61,BANCO BRADESCO S.A,LIKELY_FINANCIAL_BY_NAME|ROWS:p5r52,2026-09-03T23:36:48Z,build
26628896,5014104-85.2021.8.21.0010,1588129.34,26628896000141,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,84c586360a663c7c23a7d5176358d616fe6a93e7,GUARDIAN CAPITAL SECURITIZADORA S/A. (,LIKELY_FINANCIAL_BY_NAME|ROWS:p7r22|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
01494867,0005010-50.2013.8.24.0026,1560300.64,01494867000103|01494867000294,2,MANNES LTDA E BM EMPREENDIMENTOS E PARTICIPAÇÕES – Sgrott Administradora Judicial e Consultoria Empresarial,,,1,FLOOR,ea17ba43b2611e60da78d77cd10f534a8d7ffa56,P.R.III DO BRASIL LTDA.,"ROWS:p17r28,p17r43|UNRECONCILED_SOURCE",2026-09-03T23:36:48Z,build
51254159,8005129-09.2023.8.05.0039,1557723.71,51254159000173,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,KARINA IND E COM DE PLASTICOS LTDA,ROWS:p8r5|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
23141884,5011460-87.2023.8.24.0020,1547270.31,23141884000108,1,TOP TEXTIL EMBALAGENS LTDA,,,1,FLOOR,741aed48dd004485cbfaf3bc50def81229cab4e3,RECYCLE BAG INDUSTRIA E SERVICOS EIRELI,ROWS:p3r10|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
75724070,0005010-98.2023.8.16.0001,1535860.08,75724070000191,1,Marques Administrações Judiciais,,,1,FLOOR,b465a5d11eec7a46656b594fa59c62d80724e0a1,FML Incorcoporadora Ltda,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p25r10,2026-09-03T23:36:48Z,build
02211906,1000119-75.2025.8.26.0354,1533721.91,02211906000180,2,Ativos,,,1,FLOOR,7e2dd0270ed86b1f71e6e3a9cc21d965a29b3955,TRUSTHUB SECURITIZADORA SA,"LIKELY_FINANCIAL_BY_NAME|ROWS:p5r32,p5r33|UNRECONCILED_SOURCE",2026-09-03T23:36:48Z,build
